Elemento,Canal_l,a1,a2,a3,a4,r_c
H,0,5.000,1.000,0.000,0.000,1.000
H,1,5.000,1.000,0.000,0.000,1.000
H,2,5.000,1.000,0.000,0.000,1.000
H,3,5.000,1.000,0.000,0.000,1.000
Li,0,2.47718,1.84150,-0.02169,-0.11988,0.61340
Li,1,3.45414,2.55151,-0.21646,-0.06990,0.61566
Li,2,2.51909,2.43712,0.32505,0.10602,2.34126
Li,3,2.51909,2.43712,0.32505,0.10602,2.34126
Na,0,4.82223,2.45449,-1.12255,-1.42631,0.45489
Na,1,5.08382,2.18228,-1.19534,-1.03142,0.45798
Na,2,3.53324,2.48697,-0.75688,-1.27852,0.71875
Na,3,1.11056,1.05458,1.73203,-0.09265,28.67350
K,0,3.413,2.456,-2.451,-0.010,0.795
K,1,3.633,2.065,-0.995,-1.326,0.756
K,2,3.633,2.065,-10.279,0.000,1.279
K,3,3.633,2.065,-47.372,0.000,3.806
Rb,0,3.547,1.741,-10.440,0.205,1.875
Rb,1,4.447,1.928,-16.847,-0.828,1.510
Rb,2,4.447,1.928,-18.573,0.000,2.174
Rb,3,4.447,1.928,-20.140,0.000,0.863
Cs,0,3.266,1.672,-10.511,0.015,2.065
Cs,1,4.652,1.704,-24.401,-0.097,2.280
Cs,2,4.652,1.704,-20.215,0.000,1.498
Cs,3,4.652,1.704,-4.967,0.000,0.899
Fr,0,2.774,1.541,-1.075,0.000,0.965
Fr,1,2.947,1.500,-1.024,0.000,0.998
Fr,2,2.947,1.500,4.418,0.000,0.952
Be+,0,4.792,2.147,-0.152,-0.001,1.033
Be+,1,3.131,1.596,-0.928,0.000,1.025
Be+,2,3.131,1.596,-12.500,0.000,0.022
Be+,3,3.131,1.596,-28.836,0.000,0.013
Be+,4,3.131,1.596,-1.912,0.000,0.031
Be+,5,3.131,1.596,-2.337,0.000,0.100
Mg+,0,3.365,1.564,-0.938,0.000,1.014
Mg+,1,3.264,1.560,-0.959,0.000,1.014
Mg+,2,3.264,1.560,-0.163,0.000,1.716
Mg+,3,3.264,1.560,0.600,0.000,0.202
Mg+,4,3.264,1.560,2.183,0.000,0.537
Mg+,5,3.264,1.560,10.077,0.000,10.000
Mg+,6,3.264,1.560,100.000,0.000,9.999
Ca+,0,3.084,1.590,-0.969,0.000,1.064
Ca+,1,3.294,1.658,-0.952,0.000,1.002
Ca+,2,3.294,1.658,-0.307,0.000,0.960
Ca+,3,3.294,1.658,4.429,0.000,0.504
Ca+,4,3.294,1.658,-10.067,0.000,10.000
Ca+,5,3.294,1.658,-9.562,0.000,10.000
Sr+,0,3.493,1.513,-0.912,0.000,1.137
Sr+,1,3.565,1.487,-0.903,0.000,1.173
Sr+,2,3.565,1.487,-1.228,0.000,1.245
Sr+,3,3.565,1.487,-2.154,0.000,0.477
Sr+,4,3.565,1.487,-7.943,0.000,10.000
Ba+,0,3.635,1.357,-0.968,0.000,1.104
Ba+,1,3.679,1.465,-0.919,-0.001,1.111
Ba+,2,3.679,1.465,-4.076,0.000,1.374
Ba+,3,3.679,1.465,1.378,0.000,0.988
Ba+,4,3.679,1.465,-14.559,0.000,9.633
Ra+,0,2.857,1.540,-1.033,0.000,0.982
Ra+,1,3.029,1.519,-0.989,0.000,1.015
Ra+,2,3.029,1.519,4.601,0.000,1.009
Ra+,3,3.029,1.519,-12.064,0.000,0.676
Ra+,4,3.029,1.519,-0.739,0.000,1.208
B2+,0,5.136,2.464,0.181,-0.001,1.096
B2+,1,3.491,1.661,-0.787,0.000,1.040
B2+,2,3.491,1.661,-8.597,0.000,0.015
B2+,3,3.491,1.661,-31.162,0.000,0.035
B2+,4,3.491,1.661,-54.125,0.000,0.118
B2+,5,3.491,1.661,-82.817,0.000,2.913
Al2+,0,3.840,1.687,-0.853,-0.001,0.977
Al2+,1,3.747,1.582,-0.860,0.000,1.009
Al2+,2,3.747,1.582,0.602,0.000,0.856
Al2+,3,3.747,1.582,0.752,0.000,0.202
Al2+,4,3.747,1.582,0.664,0.000,0.154
Al2+,5,3.747,1.582,-3.724,0.000,0.350
Ga2+,0,1.791,1.660,-1.142,0.001,1.009
Ga2+,1,4.034,1.409,-0.855,0.000,1.058
Ga2+,2,4.034,1.409,-0.773,0.000,0.793
Ga2+,3,4.034,1.409,1.244,0.000,3.405
Ga2+,4,4.034,1.409,-17.702,0.000,4.641
In2+,0,2.098,1.688,-1.129,-0.001,0.951
In2+,1,3.765,1.423,-0.942,0.000,0.952
In2+,2,3.765,1.423,2.299,0.000,0.944
In2+,3,3.765,1.423,0.541,0.000,2.329
In2+,4,3.765,1.423,-5.854,0.000,5.847
Tl2+,0,2.631,1.528,-1.070,0.000,0.999
Tl2+,1,2.457,1.562,-1.080,0.000,1.012
Tl2+,2,2.457,1.562,40.981,0.000,0.320
Tl2+,3,2.457,1.562,-1.161,0.000,1.445
Tl2+,4,2.457,1.562,-7.191,0.000,1.295
Tl2+,5,2.457,1.562,-99.921,0.000,9.988
Cu,0,3.292,1.524,-0.957,0.000,1.030
Cu,1,2.742,1.511,-1.058,0.000,1.003
Cu,2,2.742,1.511,0.991,0.000,1.699
Cu,4,2.742,1.511,-54.328,0.000,3.384
Cu,5,2.742,1.511,-99.746,0.000,0.537
Ag,0,3.162,1.533,-0.970,0.000,1.038
Ag,1,3.204,1.517,-0.961,0.000,1.041
Ag,2,3.204,1.517,-0.012,0.000,1.024
Ag,3,3.204,1.517,-6.831,0.000,0.974
Ag,4,3.204,1.517,-54.020,0.000,2.802
Ag,5,3.204,1.517,-99.707,0.000,0.648
Au,0,2.335,1.574,-1.097,0.000,1.007
Au,1,2.754,1.953,-0.807,0.001,1.046
Au,2,2.754,1.953,-7.623,0.000,1.159
Au,3,2.754,1.953,-1.333,0.000,0.715
