Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Reference
"=""2p6.3s""","=""2S""","=""1/2""","=""""","=""0.0000000""","=""""","=""0""","=""L4714"""
"=""2p6.3p""","=""2P*""","=""1/2""","=""""","=""0.2445974""","=""""","=""""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""","=""""","=""0.2456621""","=""""","=""""","="""""
"=""2p6.3d""","=""2D""","=""5/2""","=""""","=""0.5283354""","=""""","=""""","="""""
"=""2p6.3d""","=""2D""","=""3/2""","=""""","=""0.5283458""","=""""","=""""","="""""
"=""2p6.4s""","=""2S""","=""1/2""","=""""","=""0.5748457""","=""""","=""""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""","=""""","=""0.6544418""","=""""","=""""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""","=""""","=""0.6548069""","=""""","=""""","="""""
"=""2p6.4d""","=""2D""","=""5/2""","=""""","=""0.7553781""","=""""","=""""","="""""
"=""2p6.4d""","=""2D""","=""3/2""","=""""","=""0.7553835""","=""""","=""""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""","=""""","=""0.7636999""","=""""","=""""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""","=""""","=""0.7637027""","=""""","=""""","="""""
"=""2p6.5s""","=""2S""","=""1/2""","=""""","=""0.7774810""","=""""","=""""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""","=""""","=""0.8130025""","=""""","=""""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""","=""""","=""0.8131706""","=""""","=""""","="""""
"=""2p6.5d""","=""2D""","=""5/2""","=""""","=""0.8605895""","=""""","=""""","="""""
"=""2p6.5d""","=""2D""","=""3/2""","=""""","=""0.8605925""","=""""","=""""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""","=""""","=""0.8651392""","=""""","=""""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""","=""""","=""0.8651406""","=""""","=""""","="""""
"=""2p6.5g""","=""2G""","=""7/2""","=""""","=""0.8653779""","=""""","=""""","="""""
"=""2p6.5g""","=""2G""","=""9/2""","=""""","=""0.8653787""","=""""","=""""","="""""
"=""2p6.6s""","=""2S""","=""1/2""","=""""","=""0.8724663""","=""""","=""""","="""""
"=""2p6.6p""","=""2P*""","=""1/2""","=""""","=""0.8913181""","=""""","=""""","="""""
"=""2p6.6p""","=""2P*""","=""3/2""","=""""","=""0.8914094""","=""""","=""""","="""""
"=""2p6.6d""","=""2D""","=""5/2""","=""""","=""0.9175329""","=""""","=""""","="""""
"=""2p6.6d""","=""2D""","=""3/2""","=""""","=""0.9175346""","=""""","=""""","="""""
"=""2p6.6f""","=""2F*""","=""5/2""","=""""","=""0.9202483""","=""""","=""""","="""""
"=""2p6.6f""","=""2F*""","=""7/2""","=""""","=""0.9202483""","=""""","=""""","="""""
"=""2p6.6g""","=""2G""","=""9/2""","=""""","=""0.9203960""","=""""","=""""","="""""
"=""2p6.6g""","=""2G""","=""7/2""","=""""","=""0.9203960""","=""""","=""""","="""""
"=""2p6.6h""","=""2H*""","=""9/2""","=""""","=""0.9204240""","=""""","=""""","="""""
"=""2p6.6h""","=""2H*""","=""11/2""","=""""","=""0.9204240""","=""""","=""""","="""""
"=""2p6.7s""","=""2S""","=""1/2""","=""""","=""0.9245788""","=""""","=""""","="""""
"=""2p6.7p""","=""2P*""","=""1/2""","=""""","=""0.9357607""","=""""","=""""","="""""
"=""2p6.7p""","=""2P*""","=""3/2""","=""""","=""0.9358155""","=""""","=""""","="""""
"=""2p6.7d""","=""2D""","=""3/2""","=""""","=""0.9517356""","=""""","=""""","="""""
"=""2p6.7d""","=""2D""","=""5/2""","=""""","=""0.9517356""","=""""","=""""","="""""
"=""2p6.7f""","=""2F*""","=""7/2""","=""""","=""0.9534735""","=""""","=""""","="""""
"=""2p6.7f""","=""2F*""","=""5/2""","=""""","=""0.9534735""","=""""","=""""","="""""
"=""2p6.7g""","=""2G""","=""7/2""","=""""","=""0.9535705""","=""""","=""""","="""""
"=""2p6.7g""","=""2G""","=""9/2""","=""""","=""0.9535705""","=""""","=""""","="""""
"=""2p6.7h""","=""2H*""","=""9/2""","=""""","=""0.9535884""","=""""","=""""","="""""
"=""2p6.7h""","=""2H*""","=""11/2""","=""""","=""0.9535884""","=""""","=""""","="""""
"=""2p6.8s""","=""2S""","=""1/2""","=""""","=""0.9562376""","=""""","=""""","="""""
"=""2p6.8d""","=""2D""","=""3/2""","=""""","=""0.9738594""","=""""","=""""","="""""
"=""2p6.8d""","=""2D""","=""5/2""","=""""","=""0.9738594""","=""""","=""""","="""""
"=""2p6.8f""","=""2F*""","=""5/2""","=""""","=""0.9750351""","=""""","=""""","="""""
"=""2p6.8f""","=""2F*""","=""7/2""","=""""","=""0.9750351""","=""""","=""""","="""""
"=""2p6.8g""","=""2G""","=""7/2""","=""""","=""0.9751023""","=""""","=""""","="""""
"=""2p6.8g""","=""2G""","=""9/2""","=""""","=""0.9751023""","=""""","=""""","="""""
"=""2p6.8h""","=""2H*""","=""9/2""","=""""","=""0.9751147""","=""""","=""""","="""""
"=""2p6.8h""","=""2H*""","=""11/2""","=""""","=""0.9751147""","=""""","=""""","="""""
"=""2p6.9f""","=""2F*""","=""5/2""","=""""","=""0.9898151""","=""""","=""""","="""""
"=""2p6.9f""","=""2F*""","=""7/2""","=""""","=""0.9898151""","=""""","=""""","="""""
"=""2p6.9g""","=""2G""","=""9/2""","=""""","=""0.9898646""","=""""","=""""","="""""
"=""2p6.9g""","=""2G""","=""7/2""","=""""","=""0.9898646""","=""""","=""""","="""""
"=""2p6.9h""","=""2H*""","=""9/2""","=""""","=""0.9898736""","=""""","=""""","="""""
"=""2p6.9h""","=""2H*""","=""11/2""","=""""","=""0.9898736""","=""""","=""""","="""""
"=""Al IV (2p6 1S<0>)""","=""Limit""","=""---""","=""""","=""1.0454316""","=""""","=""0.0000009""","=""L4714,L277"""
"=""2p5.3s2""","=""2P*""","=""3/2""","=""""","=""2.6784""","=""""","=""""","="""""
"=""2p5.3s2""","=""2P*""","=""1/2""","=""""","=""2.6949""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""""","=""2.8489""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""""","=""2.88167""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""""","=""2.8852""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""""","=""2.88889""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""""","=""2.893""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""""","=""2.90444""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""""","=""2.908""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2D""","=""3/2""","=""""","=""2.917""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2D""","=""5/2""","=""""","=""2.922""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2P""","=""1/2""","=""""","=""2.925""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2P""","=""3/2""","=""""","=""2.929""","=""""","=""""","="""""
"=""2p5.(2P*).3p2.(1D)""","=""2P*""","=""1/2""","=""""","=""3.1605""","=""""","=""""","="""""
"=""2p5.(2P*).3p2.(1D)""","=""2P*""","=""3/2""","=""""","=""3.165""","=""""","=""""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4P*""","=""5/2""","=""""","=""3.18992""","=""""","=""""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""7/2""","=""""","=""3.20995""","=""""","=""""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""5/2""","=""""","=""3.21368""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""4P*""","=""5/2""","=""""","=""3.26207""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""4F*""","=""9/2""","=""""","=""3.26372""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""4D*""","=""1/2""","=""""","=""3.282""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""2D*""","=""3/2""","=""""","=""3.2992""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""2D*""","=""5/2""","=""""","=""3.3032""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""2P*""","=""3/2""","=""""","=""3.3058""","=""""","=""""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""2P*""","=""1/2""","=""""","=""3.315""","=""""","=""""","="""""
